phase,intensity,focus,energyLevel,morning_duration,morning_activity1_name,morning_activity1_type,morning_activity1_benefits,morning_activity2_name,morning_activity2_type,morning_activity2_benefits,morning_notes,evening_duration,evening_activity1_name,evening_activity1_type,evening_activity1_benefits,evening_notes,avoidActivities,recommendedFor,equipmentNeeded,hydrationTips,safetyTips,recoveryTips
Menstrual,High,"Energy boost, Flexibility, Mood enhancement",Low,15 min,Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Pilates Core,Pilates,"Supports posture, Reduces bloating",Focus on breath awareness.,20 min,Journaling Walk,Mindfulness,"Clears mind, Reflects on day",Stop immediately if you feel pain or fatigue.,"Contact sports, Extreme HIIT, Overhead presses","Bloating, Energy dips, Joint stiffness",Yoga mat,"Sip herbal tea throughout, Coconut water for natural electrolytes","Avoid overexertion, Rest if you feel dizzy","Epsom salt bath, Light foam rolling"
Ovulatory,Medium,"Energy boost, Flexibility, Mood enhancement",Low,15 min,Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Avoid inversion poses or heavy stretching.,15 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Keep it light and enjoyable.,"Contact sports, Extreme HIIT, Overhead presses","PMS symptoms, Breast tenderness, Headaches",Yoga mat,"Sip herbal tea throughout, Coconut water for natural electrolytes","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
Ovulatory,High,"Core stability, Cardio endurance, Recovery",High,15 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Pilates Core,Pilates,"Supports posture, Reduces bloating",Avoid inversion poses or heavy stretching.,15 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Pair with calming music.,"High-intensity cardio, Heavy lifting, Long runs","Bloating, Energy dips, Joint stiffness",Yoga mat,"Drink water before and after exercise, Add electrolytes if needed","Listen to body signals, Warm up slowly","Epsom salt bath, Light foam rolling"
Ovulatory,Low,"Core stability, Cardio endurance, Recovery",Low,15 min,Pilates Core,Pilates,"Supports posture, Reduces bloating",Pilates Core,Pilates,"Supports posture, Reduces bloating",Use props for support.,10 min,Restorative Yoga,Yoga,"Promotes sleep, Deep relaxation",Pair with calming music.,"High-intensity cardio, Heavy lifting, Long runs","Bloating, Energy dips, Joint stiffness",Yoga mat,"Sip herbal tea throughout, Coconut water for natural electrolytes","Listen to body signals, Warm up slowly","Epsom salt bath, Light foam rolling"
Ovulatory,Low,"Energy boost, Flexibility, Mood enhancement",Low,20 min,Pilates Core,Pilates,"Supports posture, Reduces bloating","Gentle Yoga (Child's Pose, Cat-Cow)",Yoga,"Eases cramps, Improves blood flow, Relaxes muscles",Use props for support.,20 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Stop immediately if you feel pain or fatigue.,"High-intensity cardio, Heavy lifting, Long runs","Bloating, Energy dips, Joint stiffness","Yoga mat, resistance bands","Sip herbal tea throughout, Coconut water for natural electrolytes","Avoid overexertion, Rest if you feel dizzy","Epsom salt bath, Light foam rolling"
Menstrual,Low,"Pain relief, Relaxation, Blood flow",Medium,20 min,Pilates Core,Pilates,"Supports posture, Reduces bloating",Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Avoid inversion poses or heavy stretching.,20 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Keep it light and enjoyable.,"Contact sports, Extreme HIIT, Overhead presses","PMS symptoms, Breast tenderness, Headaches",Yoga mat,"Sip herbal tea throughout, Coconut water for natural electrolytes","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
Menstrual,Low,"Endurance, Strength, Hormone balance",High,15 min,Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Use props for support.,10 min,Restorative Yoga,Yoga,"Promotes sleep, Deep relaxation",Pair with calming music.,"High-intensity cardio, Heavy lifting, Long runs","Bloating, Energy dips, Joint stiffness",Yoga mat,"Drink water before and after exercise, Add electrolytes if needed","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
Menstrual,Low,"Core stability, Cardio endurance, Recovery",Low,25 min,Pilates Core,Pilates,"Supports posture, Reduces bloating",Pilates Core,Pilates,"Supports posture, Reduces bloating",Focus on breath awareness.,10 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Stop immediately if you feel pain or fatigue.,"High-intensity cardio, Heavy lifting, Long runs","PMS symptoms, Breast tenderness, Headaches","Yoga mat, resistance bands","Drink water before and after exercise, Add electrolytes if needed","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
Luteal,Low,"Core stability, Cardio endurance, Recovery",Medium,20 min,Sun Salutations,Yoga,"Builds stamina, Enhances flexibility","Gentle Yoga (Child's Pose, Cat-Cow)",Yoga,"Eases cramps, Improves blood flow, Relaxes muscles",Avoid inversion poses or heavy stretching.,10 min,Journaling Walk,Mindfulness,"Clears mind, Reflects on day",Stop immediately if you feel pain or fatigue.,"Jumping exercises, Twisting poses, High-impact aerobics","PMS symptoms, Breast tenderness, Headaches","Yoga mat, resistance bands","Drink water before and after exercise, Add electrolytes if needed","Avoid overexertion, Rest if you feel dizzy","Epsom salt bath, Light foam rolling"
Follicular,Medium,"Energy boost, Flexibility, Mood enhancement",High,15 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Avoid inversion poses or heavy stretching.,10 min,Restorative Yoga,Yoga,"Promotes sleep, Deep relaxation",Keep it light and enjoyable.,"Jumping exercises, Twisting poses, High-impact aerobics","Cramps, Fatigue, Mood swings",Yoga mat,"Sip herbal tea throughout, Coconut water for natural electrolytes","Listen to body signals, Warm up slowly","Epsom salt bath, Light foam rolling"
Ovulatory,Low,"Endurance, Strength, Hormone balance",High,20 min,"Gentle Yoga (Child's Pose, Cat-Cow)",Yoga,"Eases cramps, Improves blood flow, Relaxes muscles",Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Focus on breath awareness.,20 min,Journaling Walk,Mindfulness,"Clears mind, Reflects on day",Stop immediately if you feel pain or fatigue.,"High-intensity cardio, Heavy lifting, Long runs","Cramps, Fatigue, Mood swings","Yoga mat, foam roller","Sip herbal tea throughout, Coconut water for natural electrolytes","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
Menstrual,High,"Energy boost, Flexibility, Mood enhancement",High,25 min,Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Use props for support.,15 min,Restorative Yoga,Yoga,"Promotes sleep, Deep relaxation",Stop immediately if you feel pain or fatigue.,"Jumping exercises, Twisting poses, High-impact aerobics","Bloating, Energy dips, Joint stiffness","Yoga mat, resistance bands","Sip herbal tea throughout, Coconut water for natural electrolytes","Avoid overexertion, Rest if you feel dizzy","Apply warm compress post-exercise, Stretch gently before sleep"
Luteal,Low,"Endurance, Strength, Hormone balance",Low,15 min,Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Focus on breath awareness.,20 min,Journaling Walk,Mindfulness,"Clears mind, Reflects on day",Pair with calming music.,"Contact sports, Extreme HIIT, Overhead presses","PMS symptoms, Breast tenderness, Headaches",Yoga mat,"Drink water before and after exercise, Add electrolytes if needed","Listen to body signals, Warm up slowly","Epsom salt bath, Light foam rolling"
Menstrual,High,"Pain relief, Relaxation, Blood flow",High,15 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury","Gentle Yoga (Child's Pose, Cat-Cow)",Yoga,"Eases cramps, Improves blood flow, Relaxes muscles",Avoid inversion poses or heavy stretching.,10 min,Journaling Walk,Mindfulness,"Clears mind, Reflects on day",Pair with calming music.,"Jumping exercises, Twisting poses, High-impact aerobics","Cramps, Fatigue, Mood swings","Yoga mat, foam roller","Sip herbal tea throughout, Coconut water for natural electrolytes","Avoid overexertion, Rest if you feel dizzy","Epsom salt bath, Light foam rolling"
Luteal,High,"Endurance, Strength, Hormone balance",High,20 min,Pilates Core,Pilates,"Supports posture, Reduces bloating",Pilates Core,Pilates,"Supports posture, Reduces bloating",Avoid inversion poses or heavy stretching.,20 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Keep it light and enjoyable.,"Jumping exercises, Twisting poses, High-impact aerobics","Bloating, Energy dips, Joint stiffness","Yoga mat, foam roller","Sip herbal tea throughout, Coconut water for natural electrolytes","Avoid overexertion, Rest if you feel dizzy","Apply warm compress post-exercise, Stretch gently before sleep"
Menstrual,Low,"Core stability, Cardio endurance, Recovery",Medium,20 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Avoid inversion poses or heavy stretching.,10 min,Journaling Walk,Mindfulness,"Clears mind, Reflects on day",Pair with calming music.,"High-intensity cardio, Heavy lifting, Long runs","Bloating, Energy dips, Joint stiffness","Yoga mat, resistance bands","Sip herbal tea throughout, Coconut water for natural electrolytes","Avoid overexertion, Rest if you feel dizzy","Apply warm compress post-exercise, Stretch gently before sleep"
Follicular,Low,"Pain relief, Relaxation, Blood flow",Low,15 min,Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Pilates Core,Pilates,"Supports posture, Reduces bloating",Focus on breath awareness.,15 min,Journaling Walk,Mindfulness,"Clears mind, Reflects on day",Pair with calming music.,"High-intensity cardio, Heavy lifting, Long runs","Bloating, Energy dips, Joint stiffness","Yoga mat, foam roller","Drink water before and after exercise, Add electrolytes if needed","Listen to body signals, Warm up slowly","Epsom salt bath, Light foam rolling"
Ovulatory,Low,"Core stability, Cardio endurance, Recovery",High,15 min,"Gentle Yoga (Child's Pose, Cat-Cow)",Yoga,"Eases cramps, Improves blood flow, Relaxes muscles",Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Avoid inversion poses or heavy stretching.,15 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Stop immediately if you feel pain or fatigue.,"Jumping exercises, Twisting poses, High-impact aerobics","PMS symptoms, Breast tenderness, Headaches","Yoga mat, resistance bands","Sip herbal tea throughout, Coconut water for natural electrolytes","Avoid overexertion, Rest if you feel dizzy","Apply warm compress post-exercise, Stretch gently before sleep"
Luteal,Low,"Pain relief, Relaxation, Blood flow",High,25 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury","Gentle Yoga (Child's Pose, Cat-Cow)",Yoga,"Eases cramps, Improves blood flow, Relaxes muscles",Focus on breath awareness.,20 min,Journaling Walk,Mindfulness,"Clears mind, Reflects on day",Keep it light and enjoyable.,"Contact sports, Extreme HIIT, Overhead presses","Cramps, Fatigue, Mood swings",Yoga mat,"Drink water before and after exercise, Add electrolytes if needed","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
Luteal,Low,"Endurance, Strength, Hormone balance",High,15 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Focus on breath awareness.,20 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Pair with calming music.,"Contact sports, Extreme HIIT, Overhead presses","Cramps, Fatigue, Mood swings",Yoga mat,"Sip herbal tea throughout, Coconut water for natural electrolytes","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
Luteal,High,"Endurance, Strength, Hormone balance",High,15 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Pilates Core,Pilates,"Supports posture, Reduces bloating",Use props for support.,10 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Stop immediately if you feel pain or fatigue.,"Jumping exercises, Twisting poses, High-impact aerobics","Bloating, Energy dips, Joint stiffness","Yoga mat, foam roller","Sip herbal tea throughout, Coconut water for natural electrolytes","Avoid overexertion, Rest if you feel dizzy","Epsom salt bath, Light foam rolling"
Luteal,Medium,"Core stability, Cardio endurance, Recovery",Low,25 min,Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Pilates Core,Pilates,"Supports posture, Reduces bloating",Avoid inversion poses or heavy stretching.,15 min,Journaling Walk,Mindfulness,"Clears mind, Reflects on day",Stop immediately if you feel pain or fatigue.,"Contact sports, Extreme HIIT, Overhead presses","PMS symptoms, Breast tenderness, Headaches","Yoga mat, resistance bands","Drink water before and after exercise, Add electrolytes if needed","Avoid overexertion, Rest if you feel dizzy","Epsom salt bath, Light foam rolling"
Menstrual,High,"Energy boost, Flexibility, Mood enhancement",Low,20 min,Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Avoid inversion poses or heavy stretching.,20 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Pair with calming music.,"Jumping exercises, Twisting poses, High-impact aerobics","Bloating, Energy dips, Joint stiffness",Yoga mat,"Sip herbal tea throughout, Coconut water for natural electrolytes","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
Menstrual,High,"Core stability, Cardio endurance, Recovery",High,15 min,Pilates Core,Pilates,"Supports posture, Reduces bloating",Pilates Core,Pilates,"Supports posture, Reduces bloating",Focus on breath awareness.,10 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Pair with calming music.,"Contact sports, Extreme HIIT, Overhead presses","Bloating, Energy dips, Joint stiffness",Yoga mat,"Drink water before and after exercise, Add electrolytes if needed","Listen to body signals, Warm up slowly","Epsom salt bath, Light foam rolling"
Menstrual,Low,"Energy boost, Flexibility, Mood enhancement",Low,20 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Focus on breath awareness.,15 min,Restorative Yoga,Yoga,"Promotes sleep, Deep relaxation",Stop immediately if you feel pain or fatigue.,"Jumping exercises, Twisting poses, High-impact aerobics","Bloating, Energy dips, Joint stiffness",Yoga mat,"Sip herbal tea throughout, Coconut water for natural electrolytes","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
Menstrual,Medium,"Energy boost, Flexibility, Mood enhancement",Low,25 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Pilates Core,Pilates,"Supports posture, Reduces bloating",Focus on breath awareness.,10 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Keep it light and enjoyable.,"Contact sports, Extreme HIIT, Overhead presses","Bloating, Energy dips, Joint stiffness","Yoga mat, resistance bands","Drink water before and after exercise, Add electrolytes if needed","Listen to body signals, Warm up slowly","Epsom salt bath, Light foam rolling"
Follicular,Low,"Pain relief, Relaxation, Blood flow",Medium,15 min,Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Pilates Core,Pilates,"Supports posture, Reduces bloating",Use props for support.,15 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Stop immediately if you feel pain or fatigue.,"Contact sports, Extreme HIIT, Overhead presses","Cramps, Fatigue, Mood swings",Yoga mat,"Drink water before and after exercise, Add electrolytes if needed","Avoid overexertion, Rest if you feel dizzy","Epsom salt bath, Light foam rolling"
Menstrual,Low,"Pain relief, Relaxation, Blood flow",High,15 min,Pilates Core,Pilates,"Supports posture, Reduces bloating",Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Avoid inversion poses or heavy stretching.,15 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Stop immediately if you feel pain or fatigue.,"Jumping exercises, Twisting poses, High-impact aerobics","Bloating, Energy dips, Joint stiffness","Yoga mat, resistance bands","Sip herbal tea throughout, Coconut water for natural electrolytes","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
Menstrual,Low,"Pain relief, Relaxation, Blood flow",Medium,25 min,Pilates Core,Pilates,"Supports posture, Reduces bloating",Pilates Core,Pilates,"Supports posture, Reduces bloating",Avoid inversion poses or heavy stretching.,15 min,Restorative Yoga,Yoga,"Promotes sleep, Deep relaxation",Stop immediately if you feel pain or fatigue.,"Contact sports, Extreme HIIT, Overhead presses","Bloating, Energy dips, Joint stiffness","Yoga mat, resistance bands","Sip herbal tea throughout, Coconut water for natural electrolytes","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
Menstrual,Low,"Core stability, Cardio endurance, Recovery",Medium,15 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Sun Salutations,Yoga,"Builds stamina, Enhances flexibility",Avoid inversion poses or heavy stretching.,15 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Stop immediately if you feel pain or fatigue.,"Contact sports, Extreme HIIT, Overhead presses","PMS symptoms, Breast tenderness, Headaches","Yoga mat, foam roller","Drink water before and after exercise, Add electrolytes if needed","Avoid overexertion, Rest if you feel dizzy","Epsom salt bath, Light foam rolling"
Ovulatory,High,"Endurance, Strength, Hormone balance",Medium,20 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Use props for support.,10 min,Restorative Yoga,Yoga,"Promotes sleep, Deep relaxation",Stop immediately if you feel pain or fatigue.,"Jumping exercises, Twisting poses, High-impact aerobics","PMS symptoms, Breast tenderness, Headaches","Yoga mat, foam roller","Drink water before and after exercise, Add electrolytes if needed","Avoid overexertion, Rest if you feel dizzy","Apply warm compress post-exercise, Stretch gently before sleep"
Follicular,High,"Endurance, Strength, Hormone balance",High,25 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Use props for support.,15 min,Journaling Walk,Mindfulness,"Clears mind, Reflects on day",Stop immediately if you feel pain or fatigue.,"High-intensity cardio, Heavy lifting, Long runs","PMS symptoms, Breast tenderness, Headaches","Yoga mat, resistance bands","Drink water before and after exercise, Add electrolytes if needed","Listen to body signals, Warm up slowly","Epsom salt bath, Light foam rolling"
Luteal,High,"Energy boost, Flexibility, Mood enhancement",High,25 min,Light Stretching,Flexibility,"Increases range of motion, Prevents injury",Pilates Core,Pilates,"Supports posture, Reduces bloating",Avoid inversion poses or heavy stretching.,20 min,Short walk (slow pace),Cardio,"Improves mood, Boosts circulation",Pair with calming music.,"Jumping exercises, Twisting poses, High-impact aerobics","Cramps, Fatigue, Mood swings","Yoga mat, resistance bands","Sip herbal tea throughout, Coconut water for natural electrolytes","Listen to body signals, Warm up slowly","Apply warm compress post-exercise, Stretch gently before sleep"
