State,Region,Symptom,RecommendedFood,Avoid,Nutrients,BloodGroupAdjustment,Season,Tip
Assam,Northeast,fatigue,Ulunthu Kali Urad Dhal Porridge,High salt,"Zinc, Fiber, Calcium",B+: Emphasize whole grains and vegetables,winter,Millet porridge
Delhi,North,fatigue,Spinach Methi Greens,"Spicy foods, Potatoes",Omega-3,O+: Increase iron intake from leafy greens and lentils,winter,Avoid tamarind-based curries
Haryana,North,heavy bleeding,"Banana, Uluva Verakiyath Fenugreek Porridge",Chicken,"Phytoestrogens, Iron",O+: Increase iron intake from leafy greens and lentils,summer,Pair with vitamin C fruits
Punjab,North,pain,Hot Tea,Rice,"Calcium, Potassium",AB+: Balance with fermented foods,summer,Local affordable greens
Himachal Pradesh,North,pain,"Lentils Dal, Palm Jaggery Porridge",Milk products in excess,"Antioxidants, Vitamin E, Magnesium",B+: Emphasize whole grains and vegetables,summer,Iron-rich greens
Jammu & Kashmir,North,bloating,Peppermint water,"High salt, Curd",Vitamins A C B1,O+: Increase iron intake from leafy greens and lentils,summer,Warm dosa variations
Kerala,South,fatigue,"Hot Tea, Dal with Greens, Millets Bajra Porridge","Raw vegetables, Curd","Caffeine, Antioxidants",B+: Emphasize whole grains and vegetables,winter,Warm tapioca dishes
Tamil Nadu,South,pain,Seem Paal Bovine Colostrum,"Milk products in excess, Sugarcane",Phytoestrogens,B+: Emphasize whole grains and vegetables,summer,Warm dosa variations
Karnataka,South,pain,"Arissi Puttu Rice Flour Coconut, Karupettikurukku Black Sesame Preparation, Peppermint water","Chicken, Heavy fried foods","Potassium, Fiber, Omega-3",AB+: Balance with fermented foods,winter,Avoid tamarind-based curries
Andhra Pradesh,South,bloating,"Ginger tea, Lentils Dal, Sesame Seeds Nuts","Rice, Non-veg","Protein, Calcium",B+: Emphasize whole grains and vegetables,summer,Hot beverages for warmth
Telangana,South,pain,Vegetable Rice,"Lassi, Processed foods",Vitamin C,A+: Focus on lighter proteins like tofu,winter,Cucumber for hydration
Maharashtra,West,pain,"Ulunthu Kali Urad Dhal Porridge, Hot Tea, Spinach Methi Greens","Non-veg, Chicken","Vitamin C, Calcium, Zinc",O+: Increase iron intake from leafy greens and lentils,winter,Local affordable greens
Gujarat,West,cramps,"Banana, Karupettikurukku Black Sesame Preparation, Parupu Urundai Toor Dal Balls","Non-veg, Tamarind","Iron, Fiber",AB+: Balance with fermented foods,winter,Urban access to fresh produce
Rajasthan,West,pain,"Plenty of Water, Dark chocolate, Vegetable Rice","Sugarcane, Rice","Phytoestrogens, Fiber, Vitamin C",A+: Focus on lighter proteins like tofu,summer,Avoid tamarind-based curries
Madhya Pradesh,Central,bloating,"Plenty of Water, Dark chocolate, Sarkkarachoru",Curd,"Magnesium, Protein",B+: Emphasize whole grains and vegetables,summer,Hot beverages for warmth
Uttar Pradesh,North,fatigue,"Dark chocolate, Finger Millet Idli Ragi, Light Fish Curry",Red meat,Caffeine,A+: Focus on lighter proteins like tofu,summer,Monsoon hydration
Bihar,East,bloating,"Seem Paal Bovine Colostrum, Sesame Seeds Nuts, Ginger tea",Spicy foods,"Magnesium, Fiber, Calcium",O+: Increase iron intake from leafy greens and lentils,winter,Warm soups
West Bengal,East,pain,Palm Jaggery Porridge,"Carbonated drinks, Curd",Caffeine,AB+: Balance with fermented foods,summer,Add coconut water for hydration
Odisha,East,pain,Plenty of Water,"Cold foods, High salt","Omega-3, Vitamin E, Vitamin C",B+: Emphasize whole grains and vegetables,summer,Soups with spices
Jharkhand,East,cramps,Sarkkarachoru,"Processed foods, High salt",Antioxidants,O+: Increase iron intake from leafy greens and lentils,summer,Cucumber and hydration focus
Assam,Northeast,pain,Sarkkarachoru,"Milk products in excess, Processed foods",Omega-3,A+: Focus on lighter proteins like tofu,winter,Pair with vitamin C fruits
Delhi,North,bloating,"Dark chocolate, Tea with Ghee, Sesame Seeds Nuts",Potatoes,"Antioxidants, Caffeine, Protein",O+: Increase iron intake from leafy greens and lentils,winter,Warm dosa variations
Haryana,North,pain,"Dark chocolate, Hot Tea",Carbonated drinks,"Omega-3, Phytoestrogens",O+: Increase iron intake from leafy greens and lentils,summer,Cucumber and hydration focus
Punjab,North,pain,"Raw Banana Soup, Arissi Puttu Rice Flour Coconut",Sugarcane,"Fiber, Antioxidants, Caffeine",AB+: Balance with fermented foods,summer,Pair with vitamin C fruits
Himachal Pradesh,North,bloating,"Banana, Ulunthu Kali Urad Dhal Porridge, Dal with Greens",Processed foods,"Calcium, Antioxidants, Vitamins A C B1",O+: Increase iron intake from leafy greens and lentils,winter,Prefer warm sesame seed soups
Jammu & Kashmir,North,bloating,Vegetable Rice,Pickles,"Zinc, Magnesium",A+: Focus on lighter proteins like tofu,summer,Hydrate with herbal teas
Kerala,South,pain,Raw Banana Soup,Heavy fried foods,"Omega-3, Magnesium, Caffeine",AB+: Balance with fermented foods,summer,Coconut water
Tamil Nadu,South,fatigue,"Banana, Ulunthu Kali Urad Dhal Porridge, Lentils Dal",Lassi,Vitamin C,A+: Focus on lighter proteins like tofu,winter,Iron-rich greens
Karnataka,South,heavy bleeding,"Leafy Greens, Raw Banana Soup","Carbonated drinks, Milk","Potassium, Phytoestrogens",O+: Increase iron intake from leafy greens and lentils,winter,Local affordable greens
Andhra Pradesh,South,pain,"Seem Paal Bovine Colostrum, Black Sesame with Cane Sugar",Red meat,"Vitamin E, Calcium, Caffeine",A+: Focus on lighter proteins like tofu,winter,Pair with vitamin C fruits
Telangana,South,heavy bleeding,Hot Tea,"Cabbage, Cold foods","Caffeine, Omega-3",AB+: Balance with fermented foods,winter,Light meals
Maharashtra,West,pain,"Parupu Urundai Toor Dal Balls, Palm Jaggery Porridge",Curd,"Fiber, Antioxidants",AB+: Balance with fermented foods,summer,Cucumber and hydration focus
Gujarat,West,heavy bleeding,"Spinach Methi Greens, Dark chocolate",High salt,"Calcium, Antioxidants",A+: Focus on lighter proteins like tofu,winter,Coconut water
Rajasthan,West,bloating,"Karupettikurukku Black Sesame Preparation, Parupu Urundai Toor Dal Balls, Lentils Dal","High salt, Milk products in excess","Potassium, Folate",A+: Focus on lighter proteins like tofu,winter,Warm tapioca dishes
Madhya Pradesh,Central,bloating,"Karupettikurukku Black Sesame Preparation, Tea with Ghee",High salt,"Potassium, Vitamins A C B1",B+: Emphasize whole grains and vegetables,summer,Hydrate with herbal teas
Uttar Pradesh,North,fatigue,Ragi Porridge,Carbonated drinks,"Folate, Protein",O+: Increase iron intake from leafy greens and lentils,summer,Soups with spices
Bihar,East,fatigue,"Ragi roti, Cucumber Coconut Water",Carbonated drinks,Iron,A+: Focus on lighter proteins like tofu,winter,Leafy greens for iron
West Bengal,East,pain,"Sarkkarachoru, Spinach Methi Greens","Processed foods, Chicken","Protein, Magnesium",O+: Increase iron intake from leafy greens and lentils,summer,Hot beverages for warmth
Odisha,East,cramps,"Palm Jaggery Porridge, Parupu Urundai Toor Dal Balls, Dark chocolate","Heavy fried foods, Potatoes","Potassium, Protein, Vitamins A C B1",O+: Increase iron intake from leafy greens and lentils,summer,Light meals
Jharkhand,East,cramps,Spinach Methi Greens,"Curd, Carbonated drinks","Vitamin E, Potassium",O+: Increase iron intake from leafy greens and lentils,winter,Soups with spices
Assam,Northeast,bloating,"Seem Paal Bovine Colostrum, Banana","Pickles, Heavy fried foods",Zinc,A+: Focus on lighter proteins like tofu,summer,Monsoon hydration
Delhi,North,fatigue,"Avilvilayichathu Rice Flakes Mixture, Millets Bajra Porridge",Heavy fried foods,Phytoestrogens,A+: Focus on lighter proteins like tofu,winter,Leafy greens for iron
Haryana,North,bloating,"Uluva Verakiyath Fenugreek Porridge, Ragi roti, Tea with Ghee","Milk, Tamarind",Calcium,A+: Focus on lighter proteins like tofu,winter,Warm spices for digestion
Punjab,North,cramps,"Raw Egg Yolk with Sesame Oil, Millets Bajra Porridge, Spinach Methi Greens",Sugarcane,Fiber,B+: Emphasize whole grains and vegetables,summer,Prefer warm sesame seed soups
Himachal Pradesh,North,heavy bleeding,"Black Sesame with Cane Sugar, Hot Tea",Chicken,"Zinc, Phytoestrogens, Potassium",B+: Emphasize whole grains and vegetables,summer,Millet porridge
Jammu & Kashmir,North,cramps,Light Fish Curry,Milk,"Phytoestrogens, Folate, Protein",O+: Increase iron intake from leafy greens and lentils,winter,Local affordable greens
Kerala,South,pain,Vegetable Rice,"Milk, Processed foods",Potassium,A+: Focus on lighter proteins like tofu,summer,Hydrate with herbal teas
Tamil Nadu,South,bloating,"Dal with Greens, Plenty of Water","Sugarcane, Heavy fats","Antioxidants, Magnesium, Iron",A+: Focus on lighter proteins like tofu,winter,Coconut water
Karnataka,South,bloating,"Banana Ragi Roti, Ulunthu Kali Urad Dhal Porridge",Red meat,"Phytoestrogens, Calcium",A+: Focus on lighter proteins like tofu,summer,Warm tapioca dishes
Andhra Pradesh,South,bloating,"Vegetable Rice, Seem Paal Bovine Colostrum","Heavy fried foods, Potatoes","Phytoestrogens, Vitamins A C B1, Omega-3",AB+: Balance with fermented foods,summer,Seed mixes
Telangana,South,heavy bleeding,"Vegetable Rice, Leafy Greens",Milk,Zinc,O+: Increase iron intake from leafy greens and lentils,summer,Seed mixes
Maharashtra,West,bloating,Avilvilayichathu Rice Flakes Mixture,Non-veg,"Magnesium, Iron",B+: Emphasize whole grains and vegetables,summer,Leafy greens for iron
Gujarat,West,heavy bleeding,Vegetable Rice,"Milk products in excess, Cabbage",Protein,A+: Focus on lighter proteins like tofu,summer,Light meals
Rajasthan,West,heavy bleeding,"Banana, Spinach Methi Greens","Pickles, Milk products in excess",Phytoestrogens,AB+: Balance with fermented foods,winter,Prefer warm sesame seed soups
Madhya Pradesh,Central,fatigue,Dal with Greens,"Tamarind, Milk",Protein,B+: Emphasize whole grains and vegetables,winter,Light meals
Uttar Pradesh,North,heavy bleeding,"Sarkkarachoru, Millets Bajra Porridge, Light Fish Curry",Chicken,"Vitamins A C B1, Caffeine, Calcium",A+: Focus on lighter proteins like tofu,summer,Cucumber for hydration
Bihar,East,pain,Avilvilayichathu Rice Flakes Mixture,Non-veg,"Antioxidants, Potassium",A+: Focus on lighter proteins like tofu,winter,Cucumber for hydration
West Bengal,East,cramps,Dark chocolate,"Processed foods, High salt","Folate, Magnesium, Caffeine",AB+: Balance with fermented foods,winter,Avoid tamarind-based curries
Odisha,East,bloating,"Hot Tea, Seem Paal Bovine Colostrum",Heavy fats,Vitamin E,A+: Focus on lighter proteins like tofu,winter,Local affordable greens
Jharkhand,East,fatigue,Peppermint water,Milk,"Potassium, Folate",B+: Emphasize whole grains and vegetables,summer,Monsoon hydration
Assam,Northeast,heavy bleeding,"Peppermint water, Seem Paal Bovine Colostrum","Non-veg, Curd","Iron, Protein",O+: Increase iron intake from leafy greens and lentils,winter,Light meals
Delhi,North,bloating,"Raw Banana Soup, Avilvilayichathu Rice Flakes Mixture, Ragi roti",Heavy fats,"Magnesium, Folate",O+: Increase iron intake from leafy greens and lentils,winter,Urban access to fresh produce
Haryana,North,pain,"Sarkkarachoru, Vegetable Rice",Carbonated drinks,"Vitamins A C B1, Fiber, Caffeine",A+: Focus on lighter proteins like tofu,winter,Include vallarai leaves for energy
Punjab,North,cramps,"Leafy Greens, Spinach Methi Greens, Sarkkarachoru",Processed foods,"Protein, Vitamin C",AB+: Balance with fermented foods,winter,Iron-rich greens
Himachal Pradesh,North,pain,"Tea with Ghee, Millets Bajra Porridge",Onion,"Protein, Antioxidants",O+: Increase iron intake from leafy greens and lentils,winter,Avoid tamarind-based curries
Jammu & Kashmir,North,cramps,Parupu Urundai Toor Dal Balls,"Spicy foods, Milk","Iron, Antioxidants",A+: Focus on lighter proteins like tofu,winter,Warm spices for digestion
Kerala,South,pain,"Dal with Greens, Seem Paal Bovine Colostrum","Spicy foods, Onion",Fiber,A+: Focus on lighter proteins like tofu,summer,Warm dosa variations
Tamil Nadu,South,heavy bleeding,Cucumber Coconut Water,"Sour foods, Raw vegetables","Calcium, Fiber",AB+: Balance with fermented foods,summer,Seed mixes
Karnataka,South,bloating,Leafy Greens,Raw vegetables,"Vitamins A C B1, Antioxidants, Omega-3",B+: Emphasize whole grains and vegetables,summer,Add coconut water for hydration
Andhra Pradesh,South,fatigue,"Ragi roti, Light Fish Curry, Ginger tea","Spicy foods, Processed foods","Vitamins A C B1, Calcium",B+: Emphasize whole grains and vegetables,winter,Soups with spices
Telangana,South,fatigue,Sarkkarachoru,"Spicy foods, Tamarind","Vitamin C, Fiber",A+: Focus on lighter proteins like tofu,summer,Light meals
Maharashtra,West,heavy bleeding,"Dal with Greens, Arissi Puttu Rice Flour Coconut, Lentils Dal",Cold foods,"Zinc, Fiber",A+: Focus on lighter proteins like tofu,summer,Iron-rich greens
Gujarat,West,fatigue,"Ragi Porridge, Ginger tea",Raw vegetables,"Vitamin E, Antioxidants",O+: Increase iron intake from leafy greens and lentils,summer,Coconut water
Rajasthan,West,cramps,"Ragi roti, Ulunthu Kali Urad Dhal Porridge, Dark chocolate","Spicy foods, Sugarcane","Phytoestrogens, Vitamin E",O+: Increase iron intake from leafy greens and lentils,summer,Include vallarai leaves for energy
Madhya Pradesh,Central,cramps,"Arissi Puttu Rice Flour Coconut, Lentils Dal, Tea with Ghee","Sugarcane, Sour foods",Omega-3,O+: Increase iron intake from leafy greens and lentils,winter,Plenty of water
Uttar Pradesh,North,bloating,"Dal with Greens, Uluva Verakiyath Fenugreek Porridge, Raw Banana Soup",Heavy fried foods,"Magnesium, Phytoestrogens, Antioxidants",A+: Focus on lighter proteins like tofu,summer,Avoid tamarind-based curries
Bihar,East,pain,"Cucumber Coconut Water, Raw Egg Yolk with Sesame Oil, Banana Ragi Roti",High salt,"Fiber, Antioxidants",B+: Emphasize whole grains and vegetables,summer,Avoid tamarind-based curries
West Bengal,East,heavy bleeding,"Millets Bajra Porridge, Palm Jaggery Porridge, Ulunthu Kali Urad Dhal Porridge",Milk,"Calcium, Caffeine, Vitamins A C B1",O+: Increase iron intake from leafy greens and lentils,summer,Iron-rich greens
Odisha,East,cramps,"Millets Bajra Porridge, Peppermint water",Raw vegetables,"Omega-3, Zinc, Folate",B+: Emphasize whole grains and vegetables,summer,Light meals
Jharkhand,East,cramps,"Ulunthu Kali Urad Dhal Porridge, Light Fish Curry, Millets Bajra Porridge","Non-veg, Spicy foods","Potassium, Vitamins A C B1",A+: Focus on lighter proteins like tofu,winter,Local affordable greens
Assam,Northeast,cramps,"Spinach Methi Greens, Ragi roti","Raw vegetables, High salt","Protein, Zinc, Caffeine",B+: Emphasize whole grains and vegetables,summer,Urban access to fresh produce
Delhi,North,cramps,Sesame Seeds Nuts,"Sour foods, Cold foods","Magnesium, Protein",A+: Focus on lighter proteins like tofu,winter,Millet porridge
Haryana,North,bloating,"Leafy Greens, Black Sesame with Cane Sugar","High salt, Milk products in excess","Zinc, Potassium, Vitamin C",B+: Emphasize whole grains and vegetables,winter,Warm soups
Punjab,North,heavy bleeding,Sesame Seeds Nuts,"Chicken, Potatoes","Protein, Omega-3, Iron",O+: Increase iron intake from leafy greens and lentils,winter,Prefer warm sesame seed soups
Himachal Pradesh,North,cramps,Banana,"Rice, Heavy fats",Magnesium,A+: Focus on lighter proteins like tofu,summer,Iron-rich greens
Jammu & Kashmir,North,cramps,"Plenty of Water, Light Fish Curry",Non-veg,"Vitamin C, Protein",B+: Emphasize whole grains and vegetables,summer,Monsoon hydration
Kerala,South,cramps,"Sarkkarachoru, Millets Bajra Porridge","Cold foods, Milk products in excess","Protein, Phytoestrogens",AB+: Balance with fermented foods,summer,Hydration focus
Tamil Nadu,South,cramps,"Dal with Greens, Ragi Porridge",Rice,"Omega-3, Vitamin E, Iron",B+: Emphasize whole grains and vegetables,winter,Leafy greens for iron
Karnataka,South,cramps,"Sesame Seeds Nuts, Raw Banana Soup, Dal with Greens","Lassi, Sugarcane","Phytoestrogens, Protein",O+: Increase iron intake from leafy greens and lentils,winter,Hydration focus
Andhra Pradesh,South,cramps,Sarkkarachoru,"Milk products in excess, High salt",Vitamin C,O+: Increase iron intake from leafy greens and lentils,winter,Warm spices for digestion
Telangana,South,cramps,Tea with Ghee,"Milk products in excess, Heavy fats","Folate, Potassium, Protein",O+: Increase iron intake from leafy greens and lentils,winter,Plenty of water
Maharashtra,West,bloating,"Plenty of Water, Ginger tea",Non-veg,Vitamins A C B1,AB+: Balance with fermented foods,summer,Light meals
Gujarat,West,cramps,Karupettikurukku Black Sesame Preparation,"Lassi, Curd","Protein, Fiber, Phytoestrogens",O+: Increase iron intake from leafy greens and lentils,winter,Pair with vitamin C fruits
Rajasthan,West,pain,Arissi Puttu Rice Flour Coconut,Non-veg,"Antioxidants, Vitamin C, Potassium",A+: Focus on lighter proteins like tofu,winter,Include vallarai leaves for energy
Madhya Pradesh,Central,fatigue,"Tea with Ghee, Plenty of Water","Onion, Processed foods","Iron, Potassium",A+: Focus on lighter proteins like tofu,winter,Prefer warm sesame seed soups
Uttar Pradesh,North,bloating,Dal with Greens,"Milk products in excess, Raw vegetables","Fiber, Zinc",AB+: Balance with fermented foods,winter,Hydrate with herbal teas
Bihar,East,fatigue,"Uluva Verakiyath Fenugreek Porridge, Avilvilayichathu Rice Flakes Mixture, Ragi Porridge","Heavy fried foods, Lassi","Vitamins A C B1, Iron, Magnesium",O+: Increase iron intake from leafy greens and lentils,summer,Hydrate with herbal teas
West Bengal,East,heavy bleeding,"Light Fish Curry, Spinach Methi Greens",Cabbage,"Folate, Vitamins A C B1, Vitamin E",A+: Focus on lighter proteins like tofu,summer,Seasonal fruits for vitamin C
Odisha,East,pain,"Millets Bajra Porridge, Sesame Seeds Nuts",High salt,"Calcium, Zinc, Vitamin E",AB+: Balance with fermented foods,winter,Millet porridge
Jharkhand,East,fatigue,"Spinach Methi Greens, Banana, Avilvilayichathu Rice Flakes Mixture","Milk, Chicken","Vitamin C, Protein, Vitamins A C B1",B+: Emphasize whole grains and vegetables,summer,Warm soups
Assam,Northeast,heavy bleeding,"Light Fish Curry, Avilvilayichathu Rice Flakes Mixture","High salt, Potatoes","Vitamin E, Protein",AB+: Balance with fermented foods,summer,Add coconut water for hydration
Delhi,North,pain,"Tea with Ghee, Raw Banana Soup","Onion, Raw vegetables","Iron, Protein, Magnesium",AB+: Balance with fermented foods,winter,Hydrate with herbal teas
Haryana,North,bloating,Vegetable Rice,Heavy fats,"Folate, Omega-3, Fiber",B+: Emphasize whole grains and vegetables,winter,Add coconut water for hydration
Punjab,North,heavy bleeding,Spinach Methi Greens,"Processed foods, Red meat","Omega-3, Potassium, Zinc",A+: Focus on lighter proteins like tofu,winter,Plenty of water
Himachal Pradesh,North,bloating,"Peppermint water, Seem Paal Bovine Colostrum, Avilvilayichathu Rice Flakes Mixture",High salt,"Vitamins A C B1, Vitamin C",B+: Emphasize whole grains and vegetables,winter,Light meals
Jammu & Kashmir,North,bloating,"Spinach Methi Greens, Lentils Dal","Onion, Lassi",Zinc,AB+: Balance with fermented foods,winter,Iron-rich greens
Kerala,South,bloating,Uluva Verakiyath Fenugreek Porridge,Pickles,"Vitamins A C B1, Folate",A+: Focus on lighter proteins like tofu,summer,Warm soups
Tamil Nadu,South,pain,"Banana Ragi Roti, Sarkkarachoru, Raw Banana Soup",Pickles,"Vitamin E, Folate, Vitamin C",B+: Emphasize whole grains and vegetables,summer,Local affordable greens
Karnataka,South,cramps,"Vegetable Rice, Raw Egg Yolk with Sesame Oil, Finger Millet Idli Ragi","High salt, Lassi","Iron, Vitamin C",AB+: Balance with fermented foods,winter,Prefer warm sesame seed soups
Andhra Pradesh,South,cramps,Palm Jaggery Porridge,"Onion, Milk","Vitamins A C B1, Caffeine, Zinc",O+: Increase iron intake from leafy greens and lentils,winter,Soups with spices
Telangana,South,pain,Finger Millet Idli Ragi,"Tamarind, Onion","Folate, Omega-3, Potassium",O+: Increase iron intake from leafy greens and lentils,winter,Coconut water
Maharashtra,West,bloating,"Raw Banana Soup, Ginger tea",Sour foods,"Calcium, Protein, Folate",O+: Increase iron intake from leafy greens and lentils,summer,Warm spices for digestion
Gujarat,West,heavy bleeding,Ragi roti,"Chicken, Red meat",Vitamins A C B1,B+: Emphasize whole grains and vegetables,winter,Soups with spices
Rajasthan,West,bloating,Black Sesame with Cane Sugar,"Heavy fats, Cabbage",Potassium,A+: Focus on lighter proteins like tofu,summer,Seasonal fruits for vitamin C
Madhya Pradesh,Central,fatigue,Cucumber Coconut Water,Sour foods,Zinc,B+: Emphasize whole grains and vegetables,winter,Hydrate with herbal teas
Uttar Pradesh,North,fatigue,"Parupu Urundai Toor Dal Balls, Light Fish Curry, Vegetable Rice",Curd,Caffeine,O+: Increase iron intake from leafy greens and lentils,winter,Leafy greens for iron
Bihar,East,cramps,"Parupu Urundai Toor Dal Balls, Karupettikurukku Black Sesame Preparation","High salt, Curd","Fiber, Phytoestrogens",B+: Emphasize whole grains and vegetables,winter,Seasonal fruits for vitamin C
West Bengal,East,cramps,"Ragi roti, Black Sesame with Cane Sugar",Lassi,"Magnesium, Protein, Zinc",B+: Emphasize whole grains and vegetables,winter,Leafy greens for iron
Odisha,East,cramps,"Ginger tea, Seem Paal Bovine Colostrum","Heavy fried foods, Spicy foods","Vitamin C, Protein",A+: Focus on lighter proteins like tofu,summer,Warm soups
Jharkhand,East,pain,"Sarkkarachoru, Vegetable Rice",Rice,Omega-3,AB+: Balance with fermented foods,winter,Avoid tamarind-based curries
Assam,Northeast,pain,Finger Millet Idli Ragi,Raw vegetables,"Potassium, Iron",A+: Focus on lighter proteins like tofu,winter,Warm tapioca dishes
Delhi,North,heavy bleeding,"Lentils Dal, Dal with Greens, Karupettikurukku Black Sesame Preparation","Tamarind, Sour foods","Vitamin C, Folate",AB+: Balance with fermented foods,summer,Plenty of water
Haryana,North,heavy bleeding,"Ginger tea, Peppermint water, Ulunthu Kali Urad Dhal Porridge",Pickles,"Potassium, Phytoestrogens",AB+: Balance with fermented foods,winter,Warm tapioca dishes
Punjab,North,heavy bleeding,"Lentils Dal, Finger Millet Idli Ragi",Potatoes,Folate,A+: Focus on lighter proteins like tofu,summer,Hydrate with herbal teas
Himachal Pradesh,North,pain,Ginger tea,Non-veg,"Fiber, Omega-3",O+: Increase iron intake from leafy greens and lentils,summer,Seasonal fruits for vitamin C
Jammu & Kashmir,North,heavy bleeding,Dark chocolate,"Rice, Cold foods","Vitamin C, Fiber, Vitamins A C B1",AB+: Balance with fermented foods,winter,Urban access to fresh produce
Kerala,South,cramps,"Banana Ragi Roti, Sesame Seeds Nuts","High salt, Carbonated drinks",Phytoestrogens,A+: Focus on lighter proteins like tofu,summer,Warm dosa variations
Tamil Nadu,South,fatigue,"Sarkkarachoru, Light Fish Curry, Tea with Ghee",Tamarind,Vitamin E,B+: Emphasize whole grains and vegetables,summer,Plenty of water
Karnataka,South,heavy bleeding,"Spinach Methi Greens, Parupu Urundai Toor Dal Balls, Peppermint water",Spicy foods,"Caffeine, Omega-3, Protein",AB+: Balance with fermented foods,winter,Cucumber for hydration
Andhra Pradesh,South,heavy bleeding,"Peppermint water, Leafy Greens, Parupu Urundai Toor Dal Balls","Milk, Curd","Iron, Vitamin C, Magnesium",A+: Focus on lighter proteins like tofu,summer,Seed mixes
Telangana,South,pain,Uluva Verakiyath Fenugreek Porridge,Processed foods,Calcium,AB+: Balance with fermented foods,summer,Seasonal fruits for vitamin C
Maharashtra,West,heavy bleeding,"Ragi roti, Dark chocolate, Arissi Puttu Rice Flour Coconut","Sour foods, High salt","Vitamin C, Vitamins A C B1",B+: Emphasize whole grains and vegetables,winter,Prefer warm sesame seed soups
Gujarat,West,cramps,"Uluva Verakiyath Fenugreek Porridge, Leafy Greens, Dark chocolate",Heavy fats,"Antioxidants, Magnesium, Phytoestrogens",AB+: Balance with fermented foods,winter,Iron-rich greens
Rajasthan,West,heavy bleeding,"Raw Banana Soup, Vegetable Rice, Sesame Seeds Nuts","Lassi, Potatoes","Vitamin E, Zinc",A+: Focus on lighter proteins like tofu,winter,Pair with vitamin C fruits
Madhya Pradesh,Central,bloating,"Raw Egg Yolk with Sesame Oil, Cucumber Coconut Water, Raw Banana Soup","Raw vegetables, Onion","Phytoestrogens, Vitamins A C B1, Omega-3",A+: Focus on lighter proteins like tofu,winter,Local affordable greens
Uttar Pradesh,North,cramps,"Finger Millet Idli Ragi, Leafy Greens",Non-veg,Protein,O+: Increase iron intake from leafy greens and lentils,winter,Leafy greens for iron
Bihar,East,heavy bleeding,Ragi Porridge,"Sour foods, Carbonated drinks","Caffeine, Calcium, Omega-3",AB+: Balance with fermented foods,winter,Seasonal fruits for vitamin C
West Bengal,East,bloating,"Banana Ragi Roti, Vegetable Rice, Ulunthu Kali Urad Dhal Porridge","Pickles, Carbonated drinks",Antioxidants,O+: Increase iron intake from leafy greens and lentils,winter,Light meals
Odisha,East,heavy bleeding,Ragi Porridge,High salt,"Antioxidants, Folate, Zinc",B+: Emphasize whole grains and vegetables,winter,Urban access to fresh produce
Jharkhand,East,bloating,Parupu Urundai Toor Dal Balls,Carbonated drinks,Protein,AB+: Balance with fermented foods,summer,Cucumber for hydration
