Set,Document Id,Question,Answer,Age Group,Region ,Keywords,LLM Used
1,F2,What are symptoms or disorders related to menstruation?,"Menstruation is often different from person to person, and even one person can experience very different periods over their lifetime. This is often healthy and normal. But when menstruation prevents people from engaging in regular activities, medical attention is required. Unfortunately, lack of attention to, and education about, menstruation means that many women and girls suffer for years without receiving care. Below are some of the conditions and disorders related to menstruation.  One common menstruation-related complaint is dysmenorrhea, also known as menstrual cramps or painful periods. It often presents as pelvic, abdominal or back pain. In some cases, this pain can be debilitating. Studies show that dysmenorrhea is a major gynaecological issue among people around the world, contributing to absenteeism from school and work, as well as diminished quality of life. Sometimes, menstrual irregularities can indicate serious disorders. For example, some women and girls may experience abnormally heavy or prolonged bleeding, called menorrhagia, which could signal a hormonal imbalance or other concerns.  Excruciating pain or excessive bleeding during menstruation can also indicate reproductive problems such as endometriosis (when the uterine lining grows outside of the uterus) or fibroids (lumpy growths in the uterus). Irregular, infrequent or prolonged periods can indicate disorders such as polycystic ovary syndrome. Extremely heavy periods can also increase the risk of iron-deficiency anaemia, which can cause extreme fatigue, weakness, dizziness and other symptoms. Severe or chronic iron-deficiency anaemia can cause dangerous complications during pregnancy as well as physiological problems. The hormonal changes associated with the menstrual cycle can also cause physical and emotional symptoms, ranging from soreness, headaches and muscle pain to anxiety and depression. These symptoms are sometimes considered premenstrual syndrome (PMS), but when severe or disabling they are sometimes considered premenstrual dysphoric disorder. There are also conditions that can exacerbate menstruation-related complaints. For example, studies show that female genital mutilation can cause longer and more painful periods.",All,Both,"Disorders, Doctor, Symptoms",None
1,F2,What is PMS and when does it occur?,"Most people who menstruate experience some physical or emotional discomfort known as premenstrual syndrome (PMS) about a week before or during the first few days of their menstrual periods. PMS manifests differently in different people and may vary between menstruation cycles. The most common symptoms during PMS include changes in appetite, backaches, acne, bloating, headaches, depression, feelings of sadness, tension or anxiety, irritability, sweating, tender breasts, water retention, constipation or diarrhea, trouble concentrating, insomnia and tiredness. For some, these symptoms can be so severe that they miss work or school, while others are not bothered. On average, women in their 30s are most likely to have PMS. PMS may also increase as a person approaches menopause because of the fluctuations in hormone levels. It is not really known why people experience PMS. Researchers believe it is because of the dramatic drop in estrogen and progesterone that takes place after ovulation when a woman is not pregnant. PMS symptoms often disappear when the hormone levels begin to rise again. About half of women who need relief from PMS also have another health problem, such as depression or anxiety disorders, myalgic encephalomyelitis/chronic fatigue syndrome, irritable bowel syndrome, and bladder pain syndrome. Stereotypes and stigma surrounding PMS can contribute to discrimination. For instance, people may assume that PMS affects all women, or that it undermines women’s competence in the school or workplace.",All,Both,"Symptoms, Mood",None
1,F2,When does menstruation start? Is the onset of menstruation earlier today than it used to be?,"The onset of menstruation, called menarche, varies from person to person. It commonly starts between the ages of 10 and 16. In rare cases, menarche can take place before a girl reaches age 7 or 8. Menarche can also be delayed or prevented due to malnutrition, excessive exercise or medical issues. It is hard to know the global average age of menarche, because recent and comparable data are hard to find. One study from 1998 found that 14 is a typical age of menarche. Some studies have found that menarche is occurring earlier among girls in certain places, often in high-income countries and communities. Research from countries such as South Africa suggest these changes are related to nutrition and socio-economic status, meaning that as nutrition and health improve, girls’ bodies may mature slightly earlier. However, lack of systematically collected data from low-income countries means that broader or global conclusions cannot be made. Similarly, it is difficult to determine the average age at which menstruation ends, known as menopause. Data from 1999 suggest an average age of around 50.",Adolescents,Both,"Education, Age, Trends",None
1,F2,What are common myths and taboos about menstruation? How do they affect the status of women?,"Menstrual taboos have existed, and still exist, in many or most cultures. Around the world and throughout history, misconceptions about menstruation have led to women’s and girls’ exclusion from all kinds of  roles and settings – everything from leadership positions to space travel. Below is a non-exhaustive list of menstruation myths and taboos, as well as their impact on women and girls. Myth: Menstruation is dirty or dangerous Menstrual blood is composed of regular blood and tissue, with no special or dangerous properties. Yet throughout history, many communities have thought the mere presence of menstruating women could cause harm to plants, food and livestock. In the 1930s, Western scientists hypothesized that menstruating women’s bodies produced “menotoxins,” a kind of poison. People continue to hold similar beliefs today. Some communities believe women and girls can spread misfortune or impurity during menstruation (or other vaginal bleeding). As a result, they may face restrictions on their day-to-day behavior, including prohibitions on attending religious ceremonies, visiting religious spaces, handling food or sleeping in the home. In western Nepal, the tradition of chhaupadi prohibits women and girls from cooking food and compels them to spend the night outside the home, often in a hut or livestock shed. Similar rules apply to women and girls in parts of India and other countries. (In one rural community in Ethiopia, the taboos about vaginal bleeding led not only to women and girls being exiled from the home during menstruation, but also during childbirth and postpartum bleeding.) Isolation and expulsion from the home are often dangerous for women and girls – and can even be fatal. For example, women and girls in Nepal have been exposed to extreme cold, animal attacks or even sexual violence. (It is important to note that not all aspects of these traditions are negative. In some places, limitations on women’s and girls’ activities give them an opportunity to return their maternal home to relax. See more here.) Menstrual stigmas also affect how women and girls are able to manage their health and hygiene. Some cultures prohibit women and girls from touching or washing their genitals during menstruation, possibly contributing to infections. In some parts of Afghanistan, it is even believed that washing the body during menstruation can lead to infertility. In other places, women and girls are fearful that their bodies could pollute water sources or toilets.  These beliefs also affect how women and girls dispose of menstrual products. In some places, women burn menstrual pads to avoid cursing animals or nature. In other places, burning menstrual products is believed to cause infertility. Some communities believe menstrual products should be buried to avoid attracting evil spirits. Others believe improper disposal of these products can cause a girl to menstruate continuously for life. Myth: Certain foods are off-limits to menstruating women and girls Many communities believe menstruating women and girls cannot eat certain foods, such as sour or cold foods, or those prone to spoilage. In fact, there are no medically recommended restrictions on the kinds of food menstruating people can or should eat, and dietary restrictions can actually put them at risk by limiting their nutrient intake. Myth: Menstruation indicates readiness for marriage and sex In many places around the world, a girl’s first period, called menarche, is believed to be a sign that she is ready for marriage, sexual activity and childbirth. This leaves girls vulnerable to a host of abuses, including child marriage, sexual violence or coercion, and early pregnancy. While menstruation is one indication of biological fertility, it does not mean girls have reached mental, emotional, psychological or physical maturity. In rare cases, menarche can take place before a girl reaches age 7 or 8, for example. And even older teens may not be mature enough to make informed choices about marriage, sexual activity or motherhood. Myth: Menstruation limits women’s abilities Menstruation is also commonly believed to limit women’s physical or mental abilities. Nineteenth century physicians, for example, believed that periods “render it extremely doubtful how far they can be considered responsible beings.” Similar ideas persist today. Women may face degrading comments about menstruation affecting their physical or emotional states. They may be excluded from certain roles or positions of leadership. Myth: Real women menstruate Women can also face stigma and mistreatment for not having periods. Those who do not menstruate may be disparaged as “not real women.” Such perceptions contribute to some women’s reluctance to use  contraceptive methods that affect their menstrual cycles. These beliefs can adversely affect women who do not experience regular monthly menstruation, such as women who have irregular cycles and transgender women. These ideas are also harmful to transgender men who menstruate. These men can face discrimination, limited access to menstruation products and poor access to safe, private washing facilities. Taboo: Menstruation should not be discussed publicly Silence about menstruation can lead to ignorance and neglect, including at the policy level. This leaves women and girls vulnerable to things like period poverty and discrimination. It also adversely affects women and girls with heightened vulnerabilities. Those living with HIV can face stigma when seeking sanitation facilities, menstruation supplies and health care, for example. Those in prisons or other forms of detention may be deprived of menstruation supplies. Myth: All women are moody when they menstruate The menstrual cycle is driven by hormonal changes. These have different effects on different people. In some women, moodiness is a side-effect of these hormonal changes. Other women do not experience mood changes. Myth: Menstruation is a women’s issue only While it is true that menstruation is experienced in the bodies of women and girls – as well as other individuals such as non-binary and trans persons – menstrual health issues are human rights issues, and therefore of importance to society as a whole. This means that men and boys must be involved in conversations about gender equality and  promoting positive masculinities aiming to eliminate menstruation- associated stigma and discrimination.",All,Both,"Awareness, Taboos, Gender Equality",None
1,F2,What is period poverty?,"Period poverty describes the struggle many low-income women and girls face while trying to afford menstrual products. The term also refers to the increased economic vulnerability women and girls face due the financial burden posed by menstrual supplies. These include not only menstrual pads and tampons, but also related costs such as pain medication and underwear.  Period poverty does not only affect women and girls in developing countries; it also affects women in wealthy, industrialized countries. Difficulty affording menstrual products can cause girls to stay home from school and work, with lasting consequences on their education and economic opportunities. It can also exacerbate existing vulnerabilities, pushing women and girls closer toward dangerous coping mechanisms. Studies in Kenya, for example, have shown that some schoolgirls have engaged in transactional sex to pay for menstrual products. Period poverty is not only an economic issue, but a social and political one as well. For instance, some advocates have called for menstruation products to be taxation exempt. Such efforts in India have resulted in the elimination of tax on menstrual pads and tampons.",All,Both,"Access, Products",None
1,F2,What are positive aspects of menstruation?,"Regular menstruation can be an indication that a woman’s reproductive health is on track.  It can help women understand and, in a general way, monitor their fertility. For instance, many women regard their monthly period as an indication that they are not pregnant. (This method is not foolproof, however, since even pregnant women can experience bleeding, such as implantation bleeding). Some traditions offer menstruating women and girls a chance to bond with one another. In Rajasthan, India, where menstruation can restrict women’s and girls’ activities, recently married women may use it as an opportunity to visit their maternal families. Menstruation can also be an opportunity to take a break from regular responsibilities. One girl in Rajasthan, Poonam, told UNFPA that she is happy that she is not expected to help out with household chores when she is menstruating.",All,Both,"Education, Awareness",None
1,F2,Does menstruation limit what people can do?,"No. While menstruation has been used throughout history to exclude women and girls from all kinds of roles and settings, there is really nothing that menstruating people cannot do. Exercise, swimming,  bathing, work and sex are all possible during menstruation. In some cultures, there are restrictions on what people can do during menstruation, but these are customs, beliefs and traditions and have nothing to do with people’s actual abilities. Menstruating women can – and have – competed in the Olympics, run marathons, traveled to space, held leadership roles, served as judges and held religious offices. However, the management of menstruation does influence what people can do; women and girls may prefer to go swimming when they have access to menstrual cups or tampons, for instance. Menstrual symptoms can also affect what people feel like doing.",All,Both,"Limitations, Awareness",None
1,F2,What is UNFPA doing on the issue of menstrual health?,"UNFPA has four broad approaches to promoting and improving menstrual health around the world.  First, UNFPA reaches women and girls directly with menstrual supplies and safe sanitation facilities. In humanitarian emergencies, for example, UNFPA distributes dignity kits, which contain disposable and reusable menstrual pads, underwear, soap and related items. (In 2017, 484,000 dignity kits were distributed in 18 countries.) UNFPA also helps to improve the safety of toilets and bathing facilities in displacement camps by working with camp officials, distributing flashlights and installing solar lights. UNFPA also promotes menstrual health information and skills-building. For example, some UNFPA programmes teach girls to make reusable menstrual pads. Others raise awareness about menstrual cups. Second, UNFPA works to improve education and information about menstruation and related human rights concerns. Through its youth programmes and comprehensive sexuality education efforts, such as the Y-Peer programme, UNFPA helps both boys and girls understand that menstruation is healthy and normal. UNFPA also help raise awareness that the onset of menstruation (menarche) does not signify a physical or  psychological readiness to be married or bear children. The UNFPA- UNICEF Global Programme to Accelerate Action to End Child Marriage,  for instance, teaches girls and communities about reproductive health and the harms caused by child marriage. Programmes to end female  UNFPA distributes menstrual management supplies during humanitarian emergencies, often in packages of supplies called dignity kits. © UNFPA Syria/Sufian Abdulmouty genital mutilation, including the UNFPA-UNICEF Joint Programme to Eliminate FGM, raise awareness of the negative consequences the practice can have on menstrual health. Third, UNFPA supports national health systems, which can promote menstrual health and provide treatment to girls and women suffering from menstrual disorders. This includes promoting adolescent- and youth-friendly health services, which can help girls and young women better understand and care for their bodies. UNFPA also supports the hiring and training of health workers, particularly midwives, who can provide care for, and information about, menstrual health complaints. UNFPA also procures reproductive health commodities that can be useful for treating menstruation-related disorders. For instance, hormonal contraceptive methods can be used to treat symptoms of endometriosis and reduce excess menstrual bleeding. Last, UNFPA is helping to gather data and evidence about menstrual health and its connection to global development – a long overlooked topic of research. For instance, UNFPA-supported surveys provide critical insight into girls’ and women’s knowledge about their menstrual cycles, health and access to sanitation facilities. And a recent UNFPA publication provides a critical overview of the menstrual health needs of women and girls in the Eastern and Southern Africa region.",All,Both,"Awareness, Advocacy",None
1,F2,Can a person get pregnant during menstruation?,"Yes. It is widely believed that intercourse during menstruation cannot result in pregnancy. However, this is not true for women and girls with shorter or irregular menstrual cycles. Non-menstrual vaginal bleeding may also be mistaken for menstruation, which can convey a false sense of security against pregnancy. The only reliable way to prevent pregnancy is to use a modern form of contraception.",All,Both,"Fertility, Education",None
1,F2,Is menstruation bad for the environment?,"No, menstruation in itself is not bad for the environment. However, products used to manage menstruation can have a negative impact on the environment, depending on the product and the way it is disposed. Menstrual products such as tampons and pads often contain plastics and chemicals that are bad for the environment. The time it takes for them to degrade in a landfill is centuries longer than the lifespan of a woman. Menstrual products can also be found in bodies of water and along shorelines. The manufacturing process to produce menstrual products also has environmental consequences. More environmentally friendly options include reusable menstrual cups as well as reusable and/or biodegradable pads. But in many places, alternative methods are not available or culturally acceptable. In all circumstances, the choice of menstrual product must be acceptable to the people using them. For example, some women are not comfortable with insertable products like menstrual cups. In humid environments, reusable menstrual pads may be difficult to thoroughly dry. Given the potential environmental consequences of disposable menstrual products, it is important to expand the range of methods available to women, allowing them to make informed choices that fit their needs.",All,Both,"Environment, Products",None
1,F2,Are menstrual products bad for your health?,"In general, no. However, there are possible health impacts to consider.  Use of highly absorbent tampons has been associated with toxic shock syndrome (TSS), a life-threatening condition, but these cases are rare. Frequently changing tampons greatly lowers the risk of TSS. People with sensitive skin may have reactions to the materials used in menstrual products, such as the fragrances used in some pads. In addition, many countries do not obligate manufacturers to disclose the ingredients or components of menstrual products, which could lead to women being exposed to unwanted materials. Some tampon brands, for instance, contain chemicals like dioxins. There has been little research to determine the health consequences, if any, caused by exposure to these chemicals.",All,Both,"Hygiene, Safety, Products",None
1,F2,How will the COVID-19 pandemic affect people's ability to manage their menstruation?,"Communities around the world are feeling the numerous and overlapping effects of the COVID-19 pandemic. These may have significant impacts on some people's ability to manage their menstruation safely and with dignity: Gaps in provision of water and sanitation services, such as lack of sewage maintenance or disruption of water supply, will have a direct impact on people's ability to manage their menstruation. Stock-outs and supply chain disruptions mean that communities could lose access to menstrual pads, tampons and other menstrual materials. People who may be quarantined because they have either contracted or come into contact with someone who has contracted COVID-19 may have limited access to menstrual products or running water. Financial stress on families who may be underemployed due to the pandemic may lead to households prioritizing other basic needs like food or household bills over menstruation supplies. Increased prices of menstrual health supplies due to increased demand, panic-buying or disrupted supply chains may leave some without supplies, or without the supplies of their choice. Lack of knowledge of one's own menstruation and menarche may contribute to stress and anxiety. The pandemic may limit access to  critical information related to menstrual health due to disruption of regular health services, school closures, limited access to technology and suspension of community-based programming. In times of global crises, such as this pandemic, it is critical to ensure that menstruating people continue to have access to the facilities, products and information they need to protect their dignity, health and well-being. Decision-makers must assure these essential menstrual health items remain available.",All,Both,"Access, Health, COVID-19",None
1,F3,How can I keep track of my menstrual cycle?,"Use a calendar to keep track of your menstrual cycle. You can mark each day of your period with an ""X."" Calculate the length of your cycle by counting the days from the first day of bleeding in one period to the first day of bleeding in the next period. In addition to noting the days of your period, it is helpful to make notes about the flow, any pain that is felt, and changes in mood or behavior. Many apps now exist to make tracking your cycle even easier using a smartphone.",All,Both,"Tracking, Apps",None
1,F3,What is premenstrual syndrome (PMS)?,"PMS is a group of symptoms that are linked to the menstrual cycle. Symptoms usually begin before menstrual bleeding starts and then stop once menstrual bleeding begins. For some women, PMS symptoms include mild cramps or some bloating. For other women, PMS symptoms include severe pelvic pain, headaches, and fatigue.",All,Both,"PMS, Symp",None
1,F3,Can menstrual irregularities make it harder to get pregnant?,"Menstrual irregularities can be caused by many different underlying causes. Some of these causes can make it harder to get pregnant, including: Polycystic ovary syndrome (PCOS), Endometriosis, Primary ovarian insufficiency (POI), Uterine fibroids",All,Both,"Fertility, Irregularity, Doctor",None
1,F3,Can menstrual irregularities lead to other health problems?,"The presence of menstrual irregularities can be a sign of other health problems such as thyroid disease, POI, endometriosis, PCOS, polyps, and uterine fibroids. If left untreated, menstrual irregularities can lead to or contribute to other conditions. These possible conditions vary depending on the type of menstrual irregularity, but some include thickening of the lining of  the uterus (called endometrial hyperplasia), low bone density, and iron- deficient anemia.  It is important for a woman with a menstrual irregularity to speak to a health care provider to determine the cause of the irregularity and to receive appropriate treatment as necessary.",All,Both,"Symptoms, Disorders, Doctor",None
1,F3,When should I see my health care provider about menstrual irregularities?,"It is important to contact your health care provider promptly about any significant changes in your menstrual cycle. It is also important to contact your provider if your cycles are associated with significant bleeding or pain, even if your cycle has always been that way. The presence of menstrual irregularities can be indicative of other health problems, such as POI, endometriosis, PCOS, polyps, or uterine fibroids. Your health care provider can order the appropriate tests to diagnose the cause of the menstrual irregularity and provide appropriate treatment.",All,Both,"Health, Diagnosis, Doctor",None
1,F3,Can menstrual irregularities lead to cancer?,"Menstrual irregularities are often a sign of an underlying condition and, in some cases, the underlying condition may be associated with a higher risk for cancer. For example, absent and irregular periods associated with estrogen production but no progesterone production are associated with endometrial cancer in about 14% of women, if the problem is recurrent. Women who experience irregular periods on a frequent basis may also have a higher risk of ovarian cancer after age 70. Menstrual irregularities such as heavy or prolonged menstrual bleeding are not known to be associated with cancer.",All,Both,"Cancer, Risks, Diagnosis",None
1,F4,When will I get my first period?,You’ll start having periods when your body is ready. Many girls have their first period about 2 to 3 years after they begin puberty. Girls get their periods at different ages. Try not to compare yourself to your friends. You will each get your period when it is right for your body.,Adolescents,Both,"Puberty, Age",None
1,F4,How long is each cycle?,"Don’t worry if your period sometimes skips months for the first few years. You might even have a period twice in one month. That’s OK. By the time you’re an adult, it is normal for a cycle (the time from the first day of one period to the first day of your next period) to take 21 to 34 days. That’s why you hear women talk about a “monthly cycle.”",Adolescents,Both,"Cycle Length, Variations",None
1,F4,How long does each period last?,"Each girl is different, but it’s normal for a period to last 2 to 7 days. Talk to your parents or healthcare provider if your period lasts longer than 8 days for 2 cycles in a row.",Adolescents,Both,"Duration, Variations",None
1,F4,What does a period look like?,"The lining of the uterus is rich with blood. So the color of your menstrual flow can be pink, red, or brown. The flow can be thick, lumpy, or runny.",Adolescents,Both,"Bleeding, Appearance",None
1,F4,How much will I bleed?,"For most girls, the amount of flow for an entire period is only 4 teaspoons to 6 teaspoons, although for some girls it may feel like more. Expect the flow to be light on some days and heavier on others.",Adolescents,Both,"Bleeding, Quantity",None
1,F4,Can I bleed too much?,"During your period, bleeding can look like more than it is. Don’t let this frighten you. But if you ever soak a new pad in 1 hour or less, let your parents know.",All,Both,"Heavy Bleeding, Risks",None
1,F4,Will people know when I have my period?,"You are very aware of your period, but you won’t look different to other people. If you glance at yourself in the mirror, you’ll see this is true!",All,Both,"Awareness, Privacy",None
1,F4,A girl in my school is having a baby. Can that happen to me?,"If you have a period and have sex, you can get pregnant. Having periods means that your body is able to create a baby. But you can only get pregnant if your egg meets with male sperm during sex. Sex is something you should talk with your parents or your healthcare provider about. You are still growing. Getting pregnant now wouldn’t be good for your health or the health of a baby. So even if it seems like many girls your age are having sex, do yourself a favor— wait.",Adolescents,Both,"Education, Awareness",None
1,F4,Do boys have anything like this?,"Boys don’t have periods, but they do go through puberty. They grow body hair, get pimples, and some grow tall very quickly. Many boys feel embarrassed when their voices suddenly change or when they act clumsy. And they get moody, too.",Adolescents,Both,"Puberty, Gender Differences",None
1,F5,What is a normal menstrual cycle?,"A menstrual cycle is counted from the first day of bleeding of one menstrual period to the first day of bleeding of the next period. Most teens have a menstrual cycle that lasts between 21 and 45 days. A typical period lasts 2 to 7 days, with the heaviest bleeding in the first 3 days.",All,Both,"Education, Basics",None
1,F5,When is a menstrual cycle not normal?,"Menstrual cycles in teens often are irregular, especially in the first few years after they start. Having an irregular cycle means the number of days between your periods changes a lot from month to month. There may be a problem if: You are 15 or older and have never had a period, It has been 3 years since your breasts developed and you have never had a period, You are 14 or older, have never had a period, and you have an eating disorder, exercise a lot, or have hirsutism (excessive body hair growth), Your periods were regular each month and then they stopped being regular, Your period comes more often than every 21 days or less often than every 45 days, Your periods come more than 90 days apart, even for one cycle, Your period lasts more than 7 days.",All,Both,"Irregularity, Symptoms",None
1,F5,When is bleeding not normal?,"Heavy bleeding is not normal and may need treatment if: You have to change your tampon or pad more than once every 1 to 2 hours, Your period lasts more than 7 days, You or a family member have a problem with blood clotting,  You feel dizzy or faint",All,Both,"Bleeding, Risks",None
1,F5,What causes abnormal periods?,"Some causes of abnormal periods may include polycystic ovary syndrome (PCOS), bleeding disorders, eating disorders or extreme exercise, sexually transmitted diseases (STIs), growths in the uterus such as polyps, and hormonal problems, including issues with ovulation or the thyroid gland.",All,Both,"Causes, Diagnosis",None
1,F5,When should I talk with my doctor about my period?,"If you have any concerns about your period, talk with your obstetrician–gynecologist (ob-gyn) or other health care professional. You also should see your doctor if you have any of the signs of heavy bleeding or abnormal cycle length listed above.",All,Both,"Symptoms, Health",None
1,F5,How are period problems diagnosed?,"To find out what is causing trouble with your periods, your doctor may ask about your personal and family health history. The questions may cover past and current illnesses, medical procedures, pregnancies, and medication. You also may be asked to keep a chart of when you are bleeding and how much. You may have a pelvic exam, pregnancy test, and tests for STIs. Based on your symptoms and your age, other tests may be needed, such as blood tests and an ultrasound exam.",All,Both,"Diagnosis, Doctor",None
1,F5,How are period problems treated?,"Teens with heavy bleeding often benefit from treatment with hormone medication, such as birth control pills or a hormonal intrauterine device (IUD). If you are anemic, you may take iron pills. If your period problems are caused by a medical condition, you and your doctor should discuss treatment options for that condition. ",All,Both,"Treatment, Therapy",None
1,F5,What should I know about bleeding disorders?,"Bleeding disorders are problems with how your blood clots. In women and girls, heavy periods are the most common sign of a bleeding disorder. But having heavy periods does not automatically mean that you have a bleeding disorder. The most common bleeding disorder is Von Willebrand disease . It is inherited, meaning it runs in families. If you or anyone in your family has a problem with blood clotting, you should tell your doctor so you can be screened for a bleeding disorder.",All,Both,"Disorders, Awareness",None
